itemID|rec_1|rec_2|rec_3|rec_4|rec_5
21281|25802|46075|35604|75875|38044
61125|27176|38083|39747|20759|41869
45116|75058|19808|33093|64088|40258
15854|24863|20406|68491|66216|20702
46634|58177|15041|26336|26272|51862
4272|38599|43829|3260|6131|62433
39508|71727|8452|25236|7269|50914
13970|9120|23504|29272|74513|1367
9626|73932|75634|63695|71287|41942
6341|46880|43244|61633|45221|74606
26222|2026|15717|23440|22662|73584
17998|53092|52920|18523|2708|58977
51002|38044|15978|68207|37565|18081
70026|23366|26120|47881|75472|21472
4089|41483|71593|72389|71298|57778
56945|61456|42402|14835|28680|6087
56300|23541|48335|56801|52874|5070
29536|21208|72736|3067|38519|70558
67085|67489|5337|48602|47456|1777
8318|68765|17194|10438|24593|45035
50701|38044|15978|37565|18081|68207
39906|42958|75351|14684|36670|41497
20388|50030|37852|70363|66651|52620
48054|39002|76929|43488|68904|32082
28013|13120|49056|58260|12627|68387
72242|11633|59647|18148|45921|27058
69407|46429|73379|53341|47345|49551
67382|16177|32732|66371|40585|12051
48584|68109|70907|14578|26426|31729
38197|78067|59537|60804|77876|70795
3696|3511|40035|37735|19272|21891
22940|7550|47540|1308|8949|54052
66319|38423|52863|44105|49497|15041
37531|24245|74294|34480|34528|65242
47302|8676|25238|19782|21427|4217
64237|12096|37425|52414|44334|54619
60983|35110|38779|10843|43301|50235
687|20872|44819|75891|74363|69074
51599|7745|19131|27005|43364|8639
12519|7763|10414|19237|75585|36118
8268|10240|4630|74416|15244|7458
45732|25146|60170|8893|35014|7955
29948|68797|63452|36567|54393|66006
24087|65883|44032|42646|62403|3311
24667|69983|26466|15978|7935|58177
9197|58078|4185|64982|65939|28239
31571|12063|6335|11994|18664|39374
71698|60539|3929|72740|72681|68944
43672|1431|37723|44069|38451|27058
72088|72736|17328|27899|50910|7763
53393|56986|22987|58524|46516|14024
38254|78725|60394|71429|4129|72052
27491|52385|37642|11203|75382|8155
7028|24393|63431|68689|74181|58742
56180|46116|57308|16472|50863|68191
10324|48087|33582|55356|43942|15862
51443|44644|61305|51564|50441|18661
65088|42048|7105|19482|39735|3014
45487|847|52620|70363|53940|56283
7201|18280|52888|34357|65164|36671
3031|18334|38577|26475|5545|30051
52727|64186|765|2982|75351|78405
66360|54393|66006|32192|53997|58306
70707|76166|34071|4727|50704|13767
60250|72984|51862|15044|22581|47881
70223|639|56296|21956|35234|2414
12103|283|20483|69166|52605|24591
29580|52920|39543|20887|75283|50299
3472|7698|49459|48508|25353|46363
66315|45655|49556|62821|49987|76335
58455|25780|44979|6348|39172|41157
9424|75891|69074|36261|12606|55601
56705|73797|59670|40018|74800|52649
54338|47881|25678|73789|58619|40550
70923|25361|22026|12490|2982|75585
41422|28680|13912|40551|318|63098
23087|64458|73177|34465|66237|37461
60594|53147|21123|3718|76946|6422
59102|58078|37243|7850|11960|64982
70997|26125|20390|47587|30500|63307
15861|32192|22926|66006|54393|31032
8542|34721|1041|46549|18421|22133
38964|63551|61640|26638|35824|22152
8208|38891|45958|8989|23356|70631
1954|25683|65096|23768|32450|16646
4822|41316|18119|53523|61545|12606
26113|78581|11688|52577|20683|76335
12970|72628|43837|9968|58432|71775
9891|2559|40485|25830|53291|71820
65669|11688|46457|7413|43021|27899
26379|14908|2982|9376|70127|22872
30725|35226|30920|7244|23811|22987
55501|73054|9962|64290|6722|28841
49738|73237|66582|51523|16322|22662
77676|75351|59345|7413|64186|765
16801|27657|40782|76213|14228|46338
61475|53801|48602|47456|5337|67489
51600|6046|950|15479|9483|73105
33303|6628|55575|47369|20371|29080
39498|35158|20188|14100|67042|18476
46052|39958|74361|68054|47656|11510
72969|58626|32029|48433|9529|60539
14895|18081|15978|37565|68207|21237
69233|25792|38074|66708|39916|25743
19801|14142|20425|39531|400|42292
65557|53801|61633|43021|1777|71090
78480|15666|643|19729|14365|69468
20547|75365|63719|44830|49688|29728
47002|62937|32110|23513|27299|43966
41580|38044|37723|15978|18081|37565
23706|37565|68207|18081|26466|39454
8498|58083|72066|22627|26764|40536
53475|47407|53702|46300|38635|53724
2074|50914|25472|296|8452|13528
75295|774|43091|49973|20023|64558
39076|38044|15978|7935|68207|18081
59879|22780|4013|13500|58432|74274
51540|15681|72864|75344|73090|63098
40362|57464|3232|78678|11714|25395
73789|40550|47881|25678|38179|70457
76368|60281|6024|25780|20395|13323
22313|44537|6309|57310|64186|143
11550|56149|37565|18081|44105|15978
73200|47655|34322|56898|64528|68171
21536|75220|61805|33206|31499|43282
56475|62079|75351|14684|36670|59345
27237|25126|74416|4630|15244|78563
59970|52920|15970|26483|72379|20887
66324|28300|6087|67191|49064|53010
56170|6181|56330|52870|2969|9694
61750|28675|9134|57995|66829|50939
78486|59500|15717|66154|61744|25466
22231|7850|42697|75128|11999|52011
56175|61601|69844|26466|37565|68207
36526|21106|46797|65862|37328|14097
72777|11245|6901|11023|46795|74741
51818|24932|34462|42268|18529|51013
78303|381|9137|48691|31988|54928
54090|65248|64818|24766|45319|66219
58865|55288|58170|12344|41529|8571
28493|10130|11688|46457|75351|1777
39201|11577|8585|42443|23095|26865
3523|63478|12583|20910|66696|49329
26764|58083|72066|22627|8498|40536
10587|52321|31427|62459|51523|66582
27590|43604|67318|24095|6328|60094
14640|17506|32268|41748|32483|58035
30239|38435|74721|71818|40863|466
25987|7850|30830|2135|28403|47881
50899|49452|74029|10603|25368|7850
38664|44553|15978|7935|38044|26466
64339|4013|58432|74274|32809|44724
36157|31457|15177|61083|78435|15200
67219|34068|7902|78486|52321|31427
26971|78229|1337|56791|37723|13725
59750|45224|51244|26146|10880|19463
14318|38519|21208|59500|78486|3067
35892|72736|43933|64050|68932|14961
23226|21152|8339|61131|67279|40776
78680|68542|29866|12093|29609|21380
60056|14735|17162|22344|2516|21334
68759|31371|29675|59822|30837|7460
61909|54946|6188|21204|10702|54162
62464|43707|20911|53856|62869|7631
39864|36414|58432|13500|47881|21472
4120|37565|18081|4871|18427|69611
71863|36567|68797|19913|33447|15248
67953|73835|40198|22270|57796|25387
14782|27912|61169|75199|12606|66015
55221|67149|36113|64528|9492|55601
13755|37565|38044|26466|15978|32391
66040|15978|38044|7935|26466|37565
22353|42957|78486|59500|25466|74152
11485|49713|37755|67230|78006|53139
10789|44916|60602|9492|36113|67149
63891|47456|2765|67489|69718|38982
49179|11563|7850|65885|11960|39374
817|16903|15572|9550|71168|40037
25157|62920|16280|22363|42398|18064
41090|13433|67883|47779|55594|44765
77200|16995|54489|9028|48731|65212
66568|22297|24766|64818|45319|40991
45173|37565|18081|68207|38044|26466
20399|25233|30656|77653|65937|36843
76916|62664|47874|70381|7272|53801
63103|58432|13500|4013|22780|20390
64517|71820|54046|22926|11655|46809
47988|42697|52011|6410|75128|58078
44662|67268|60008|76152|40153|65958
76645|6006|7039|23559|76697|16790
62115|38044|15978|68207|18081|37565
62234|30320|11373|52471|56330|6181
36826|22386|42685|71205|26983|34204
29916|57901|17862|17773|61036|46231
8728|51573|18519|25577|37749|78239
30372|53710|58370|75283|38208|78615
17138|20176|58572|36827|78876|73024
40812|60439|48371|65838|44548|24381
28381|41574|40788|61743|6355|1214
37563|34630|27271|10908|41205|62598
42158|54135|29356|21447|44724|4013
36959|56072|53870|51303|43744|5419
30622|38044|37565|15978|18081|68207
56782|19466|4820|62821|49987|53940
44214|44371|44917|53563|32508|31598
50648|68065|75365|55063|51749|7530
37731|73435|68689|32868|30418|51559
22963|57206|35721|62473|20320|30320
24740|61143|59311|23696|4410|16278
2706|78486|59500|72736|25466|74152
58358|28677|20911|15554|63368|3166
9569|46706|38192|68358|39611|44124
50163|75351|765|2982|59345|17328
5357|23071|60672|53267|7490|14419
23570|15202|27009|31220|34965|42743
78384|56354|72389|22154|40979|71593
68157|21470|19503|66167|55547|58623
44964|75198|25989|68320|70107|23343
12971|32816|15800|49248|56107|21904
41078|23733|11950|36214|22179|43828
